"Associate","Group","Location","Account_Number","Start_Period","End_Period","Account_Ref","Supplier","Reader","Opened_On","Replaced_On","Data Type","Period_Starting","Days_In_Month","Expected_Days_In_Month","Days_Of_Data","Units","In","Daily_Rate","Days_Mismatch","Consolidation (%)"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Sep 2025","30","30","30","0.1000","AUD Million","0.0033","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Oct 2025","31","31","31","0.0000","AUD Million","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Nov 2025","30","30","30","0.1000","AUD Million","0.0033","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Dec 2025","31","31","31","0.0000","AUD Million","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Jan 2026","31","31","31","0.0000","AUD Million","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Feb 2026","28","28","28","0.0000","AUD Million","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Mar 2026","31","31","31","0.0000","AUD Million","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Apr 2026","30","30","30","0.0000","AUD Million","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 May 2026","31","31","31","0.0000","AUD Million","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Jun 2026","30","30","30","0.0000","AUD Million","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Jul 2026","31","31","0",,,,"31",
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_FY20Rev_Downer Asset Services","FY26REV_E&U Asset Management (ANZ)","01 Sep 2025","31 Aug 2026","FY26REV_E&U Asset Management (ANZ)","Downer","Revenue",,,"Revenue [AUD Million]","01 Aug 2026","31","31","0",,,,"31",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Sep 2025","30","30","0",,,,"30",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Oct 2025","31","31","0",,,,"31",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Nov 2025","30","30","0",,,,"30",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Dec 2025","31","31","0",,,,"31",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Jan 2026","31","31","0",,,,"31",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Feb 2026","28","28","0",,,,"28",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Mar 2026","31","31","0",,,,"31",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Apr 2026","30","30","0",,,,"30",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 May 2026","31","31","0",,,,"31",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Jun 2026","30","30","0",,,,"30",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Jul 2026","31","31","0",,,,"31",
"Downer"," Operational Control > Corporate","_CLOSED_Hawera (32-34 Glover Rd)","91250_Natural Gas","01 Sep 2025","31 Aug 2026","","","",,,"Natural Gas [MJ]","01 Aug 2026","31","31","0",,,,"31",
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Molonglo Zone Substation","37740119_Electricity","01 Sep 2025","31 Aug 2026","Electricity invoices","EnergyAustralia","",2024/08/16,2026/06/02,"Electricity [kWh]","01 Sep 2025","30","30","30","7811.9034","kWh","260.3967","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Molonglo Zone Substation","37740119_Electricity","01 Sep 2025","31 Aug 2026","Electricity invoices","EnergyAustralia","",2024/08/16,2026/06/02,"Electricity [kWh]","01 Oct 2025","31","31","31","8072.3002","kWh","260.3967","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Molonglo Zone Substation","37740119_Electricity","01 Sep 2025","31 Aug 2026","Electricity invoices","EnergyAustralia","",2024/08/16,2026/06/02,"Electricity [kWh]","01 Nov 2025","30","30","30","7097.6554","kWh","236.5885","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Molonglo Zone Substation","37740119_Electricity","01 Sep 2025","31 Aug 2026","Electricity invoices","EnergyAustralia","",2024/08/16,2026/06/02,"Electricity [kWh]","01 Dec 2025","31","31","31","6688.4446","kWh","215.7562","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Molonglo Zone Substation","37740119_Electricity","01 Sep 2025","31 Aug 2026","Electricity invoices","EnergyAustralia","",2024/08/16,2026/06/02,"Electricity [kWh]","01 Jan 2026","31","31","31","6688.4446","kWh","215.7562","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Molonglo Zone Substation","37740119_Electricity","01 Sep 2025","31 Aug 2026","Electricity invoices","EnergyAustralia","",2024/08/16,2026/06/02,"Electricity [kWh]","01 Feb 2026","28","28","28","2589.0753","kWh","92.4669","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Molonglo Zone Substation","37740119_Electricity","01 Sep 2025","31 Aug 2026","Electricity invoices","EnergyAustralia","",2024/08/16,2026/06/02,"Electricity [kWh]","01 Mar 2026","31","31","31","0.0000","kWh","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Molonglo Zone Substation","37740119_Electricity","01 Sep 2025","31 Aug 2026","Electricity invoices","EnergyAustralia","",2024/08/16,2026/06/02,"Electricity [kWh]","01 Apr 2026","30","30","30","0.0000","kWh","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Molonglo Zone Substation","37740119_Electricity","01 Sep 2025","31 Aug 2026","Electricity invoices","EnergyAustralia","",2024/08/16,2026/06/02,"Electricity [kWh]","01 May 2026","31","31","31","0.0000","kWh","0.0000","0","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Molonglo Zone Substation","37740119_Electricity","01 Sep 2025","31 Aug 2026","Electricity invoices","EnergyAustralia","",2024/08/16,2026/06/02,"Electricity [kWh]","01 Jun 2026","30","2","30","0.0000","kWh","0.0000","-28","100.0000"
"Downer"," Operational Control > Energy and Utilities (EU)","_CLOSED_Porirua CCWRT","UN0001_Electricity - Purchased from grid","01 Sep 2025","31 Aug 2026","","","",,2026/03/31,"Electricity [kWh]","01 Sep 2025","30","30","30","1007.8148","kWh","33.5938","0","100.0000"
