Location,Virtual Account Name,Virtual Account Link,Relationship Link,Rule Name,Rule Formula,Variable Name,Source Name,Source Link,Source Apportionment,Effective From YYYY-MM-DD,Effective To YYYY-MM-DD,nz_copy,source_style,source_supplier,source_location,source_replaced_on,identifier,targets_on_same_source_link,targets_on_same_source_name,source_number_at_n_open_locations,open_accounts_on_identifier,source_months_with_kwh,target_months_with_kwh,source_kwh_JulAug,target_kwh_JulAug,target_tco2e_JulAug,target_kwh_MarJun,target_tco2e_MarJun,target_factor_JulAug,flags
Asphalt Prod - Archerfield (406),1003081_QB05383854_CERTS,6403603,200,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,1003081_QB05383854,6400661,100.0000,2026-07-01,,False,Electricity Small Market,CSEnergy,Asphalt Prod - Archerfield (406),,QB05383854,1,1,1,1003081_QB05383854,"Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",151118.0,151118.0,-107.29,0.0,0.0,LGCs QLD 24-25,OK
Asphalt Prod - Auckland,Copy of Eco_ICP_1001126325LC57C_CERTS,6397546,78,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_1001126325LC57C,6223424,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Auckland,,1001126325LC57C,1,1,1,Eco_ICP_1001126325LC57C,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",255643.0,0.0,0.0,476795.0,-48.21,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Bathurst (156),50002617964_NAAA00AC25_CERTS,6403506,134,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617964_NAAA00AC25,6181665,100.0000,2026-07-01,,False,Electricity Large Market,Origin,Asphalt Prod - Bathurst (156),,NAAA00AC25,1,1,1,50002617964_NAAA00AC25,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",95248.0,95248.0,-62.86,0.0,0.0,LGCs NSW 24-25,OK
Asphalt Prod - Bayswater (302),900018215_6305920528_CERTS,6403572,182,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018215_6305920528,6402915,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Asphalt Prod - Bayswater (302),,6305920528,1,1,1,900018215_6305920528,"Jul26,Aug26","Jul26,Aug26",154614.0,154614.0,-120.6,0.0,0.0,LGCs Victoria 25-26,OK
Asphalt Prod - Bli Bli (408),1003079_3120103988_CERTS,6403601,198,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,1003079_3120103988,6400660,100.0000,2026-07-01,,False,Electricity Small Market,CSEnergy,Asphalt Prod - Bli Bli (408),,3120103988,1,1,1,1003079_3120103988,"Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",126853.0,126853.0,-90.07,0.0,0.0,LGCs QLD 24-25,OK
Asphalt Prod - Brendale (423),900018199_3120725958_CERTS,6403550,159,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,900018199_3120725958,6403470,100.0000,2026-07-01,,False,Electricity Small Market,EngieAU,Asphalt Prod - Brendale (423),,3120725958,1,1,1,900018199_3120725958,"Jul26,Aug26","Jul26,Aug26",172339.0,172339.0,-122.36,0.0,0.0,LGCs QLD 24-25,OK
Asphalt Prod - Dunedin,Copy of Eco_ICP_0000102308DEAD2_CERTS,6397547,79,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000102308DEAD2,6223425,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Dunedin,,0000102308DEAD2,1,1,1,Eco_ICP_0000102308DEAD2,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",80841.0,0.0,0.0,169183.0,-17.11,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Hamilton,Copy of Eco_ICP_0000024050WE5E2_CERTS,6397548,80,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000024050WE5E2,6223426,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Hamilton,,0000024050WE5E2,1,1,2,Eco_ICP_0000024050WE5E2,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",98307.0,0.0,0.0,195654.0,-19.78,,"NZ 'Copy of' name, no Effective From; source account number exists at more than one open location; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Hobart (329),DEDI01_8000002117_8000002117_CERTS,6403583,193,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,DEDI01_8000002117_8000002117,6402932,100.0000,2026-07-01,,False,Electricity Small Market,ShellEnergyAU,Asphalt Prod - Hobart (329),,8000002117,1,1,1,DEDI01_8000002117_8000002117,"Jul26,Aug26","Jul26,Aug26",76480.0,76480.0,-11.47,0.0,0.0,LGCs Tasmania 24-25,OK
Asphalt Prod - Hume (101),50002618040_7001184714_CERTS,6403510,137,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002618040_7001184714,6182745,100.0000,2026-07-01,,False,Electricity Large Market,Origin,Asphalt Prod - Hume (101),,7001184714,1,1,1,50002618040_7001184714,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Jul26,Aug26",180470.0,180470.0,-119.11,0.0,0.0,LGCs ACT 24-25,OK
