Location,Virtual Account Name,Source Name,Effective From YYYY-MM-DD,source_supplier,source_replaced_on,source_kwh_Mar26,source_kwh_Apr26,source_kwh_May26,source_kwh_Jun26,source_kwh_Jul26,source_kwh_Aug26,certificate_tco2e_Mar26,certificate_tco2e_Apr26,certificate_tco2e_May26,certificate_tco2e_Jun26,certificate_tco2e_Jul26,certificate_tco2e_Aug26,credit_before_FY27_tco2e,monthly_run_rate_tco2e,FY27_credit_missing_JulAug_tco2e,flags
Bitumen - Mt Maunganui,Copy of Eco_ICP_0000939570TUEC4_CERTS,Eco_ICP_0000939570TUEC4,,Ecotricity,,143614,130155,122548,112313,114834,113116,-14.52,-13.16,-12.39,-11.36,0,0,-51.43,-12.86,23.05,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Auckland,Copy of Eco_ICP_1001126325LC57C_CERTS,Eco_ICP_1001126325LC57C,,Ecotricity,,122857,115721,118408,119810,131413,124230,-12.42,-11.7,-11.97,-12.12,0,0,-48.21,-12.05,25.85,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Wiri (130 Kerrs Rd),Copy of Eco_ICP_1001240514LC3EB_CERTS,Eco_ICP_1001240514LC3EB,,Ecotricity,,104995,95759,96979,94477,103272,104828,-10.62,-9.68,-9.81,-9.55,0,0,-39.66,-9.91,21.04,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Lyttleton,Copy of Eco_ICP_0007202058RN859_CERTS,Eco_ICP_0007202058RN859,,Ecotricity,,86957,84674,93512,91978,92309,92210,-8.79,-8.56,-9.46,-9.3,0,0,-36.11,-9.03,18.66,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Wellington,Copy of Eco_ICP_1001113152UNBF4_CERTS,Eco_ICP_1001113152UNBF4,,Ecotricity,,81401,77547,77624,76721,78834,80605,-8.23,-7.84,-7.85,-7.76,0,0,-31.68,-7.92,16.12,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Taranaki,Copy of Eco_ICP_0001510110PCCA2_CERTS,Eco_ICP_0001510110PCCA2,,Ecotricity,,79428,70445,70941,71973,72409,71200,-8.03,-7.12,-7.17,-7.28,0,0,-29.6,-7.4,14.52,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Lyttleton,Copy of Eco_ICP_0006863450RN0A4_CERTS,Eco_ICP_0006863450RN0A4,,Ecotricity,,60279,54906,56980,56001,49665,47520,-6.1,-5.55,-5.76,-5.66,0,0,-23.07,-5.77,9.83,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Hamilton,Copy of Eco_ICP_0000024050WE5E2_CERTS,Eco_ICP_0000024050WE5E2,,Ecotricity,,50251,44968,47769,52667,51902,46404,-5.08,-4.55,-4.83,-5.33,0,0,-19.79,-4.95,9.94,"NZ 'Copy of' name, no Effective From; source account number exists at more than one open location; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Hastings Depot,Copy of Eco_ICP_0000024050WE5E2_CERTS,Eco_ICP_0000024050WE5E2,,,,48669,47099,48669,47099,48669,0,-4.92,-4.76,-4.92,-4.76,0,0,-19.36,-4.84,4.92,"NZ 'Copy of' name, no Effective From; source account number exists at more than one open location; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Whangarei,Copy of Eco_ICP_0000519132NR7B9_CERTS,Eco_ICP_0000519132NR7B9,,Ecotricity,,47404,42496,42177,42575,43545,43852,-4.79,-4.3,-4.26,-4.31,0,0,-17.66,-4.42,8.84,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
