Location,Account_Number,Supplier,Data Type,Replaced_On,Period_Starting,Days_In_Month,Days_Of_Data,Days_Mismatch,In,Units,export_qty,export_tco2e,export_total_days,excess_share,est_excess_qty,est_excess_tco2e,is_revenue
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,568.0,-538.0,,6347.9963,,,,0.947,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,510.0,-480.0,,11266.2925,,,,0.941,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,505.0,-474.0,,9313.6233,,,,0.939,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,503.0,-475.0,,4688.0519,,,,0.944,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,496.0,-465.0,,5041.5632,,,,0.938,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,467.0,-436.0,,10021.8500,10021.85,1.0134,467.0,0.934,9360.4,0.947,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,465.0,-434.0,,4778.1333,,,,0.933,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,450.0,-420.0,,5661.8321,5661.8321,0.5725,450.0,0.933,5282.5,0.534,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,431.0,-401.0,,12239.5500,12239.55,1.2377,431.0,0.93,11382.8,1.151,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,430.0,-399.0,,5027.9161,5027.9161,0.5084,430.0,0.928,4665.9,0.472,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,262.0,-232.0,,14898.7153,,,,0.885,,,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,253.0,-222.0,,9362.4972,,,,0.877,,,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,233.0,-202.0,,8660.8843,,,,0.867,,,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,217.0,-186.0,,13337.5792,,,,0.857,,,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,217.0,-186.0,,15847.7941,,,,0.857,,,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,211.0,-181.0,,13066.1411,,,,0.858,,,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,210.0,-180.0,,11514.5928,,,,0.857,,,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,210.0,-180.0,,17549.3884,,,,0.857,,,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,207.0,-176.0,,8977.3802,8977.3802,0.9078,207.0,0.85,7630.8,0.772,False
_CLOSED_Porirua CCWRT,UN0001_Electricity - Purchased from grid,,Electricity [kWh],2026/03/31,01 Mar 2026,31.0,196.0,-165.0,,-231.4862,-231.4862,-0.0234,196.0,0.842,-194.9,-0.02,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,189.0,-159.0,,8449.8485,8449.8485,0.8544,189.0,0.841,7106.3,0.719,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,181.0,-150.0,,11012.5792,,,,0.829,,,False
Engineers Camp (Lewis Pass),55614_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,180.0,-150.0,,1131.2143,1131.2143,0.1144,180.0,0.833,942.3,0.095,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,178.0,-147.0,,3153.7000,3153.7,0.3189,178.0,0.826,2605.0,0.263,False
Engineers Camp (Lewis Pass),55614_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,166.0,-135.0,,1001.7857,1001.7857,0.1013,166.0,0.813,814.5,0.082,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,155.0,-124.0,,12326.5792,,,,0.8,,,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,155.0,-124.0,,14113.0000,14113.0,1.4271,155.0,0.8,11290.4,1.142,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,155.0,-124.0,,8999.0000,8999.0,0.91,155.0,0.8,7199.2,0.728,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,155.0,-124.0,,9975.3333,9975.3333,1.0087,155.0,0.8,7980.3,0.807,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,152.0,-124.0,,7971.3471,,,,0.816,,,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,150.0,-120.0,,9041.0000,9041.0,0.9142,150.0,0.8,7232.8,0.731,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,150.0,-120.0,,9085.0000,9085.0,0.9187,150.0,0.8,7268.0,0.735,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,150.0,-120.0,,10047.8214,10047.8214,1.016,150.0,0.8,8038.3,0.813,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,150.0,-120.0,,2429.0645,2429.0645,0.2456,150.0,0.8,1943.3,0.196,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,140.0,-112.0,,12175.0000,,,,0.8,,,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,126.0,-96.0,,3409.1571,3409.1571,0.3447,126.0,0.762,2597.8,0.263,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Oct 2025,31.0,124.0,-93.0,,492.0000,,,,0.75,,,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Dec 2025,31.0,124.0,-93.0,,631.0000,,,,0.75,,,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Jan 2026,31.0,124.0,-93.0,,577.0000,,,,0.75,,,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Mar 2026,31.0,124.0,-93.0,,590.0000,590.0,0.0389,124.0,0.75,442.5,0.029,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 May 2026,31.0,124.0,-93.0,,540.0000,540.0,0.0356,124.0,0.75,405.0,0.027,False
