Location,Account_Number,Apr26,Aug26,Dec25,Feb26,Jan26,Jul26,Jun26,Mar26,May26,Nov25,Oct25,Sep25,records_per_month
REV_Allied Asphalt,FY26REV_Allied Asphalt,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Allied Asphalt,FY27REV_Allied Asphalt,,0.0,,,,31.0,,,,,,,1.0
REV_BIA,FY26REV_BIA,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_BIA,FY27REV_BIA,,0.0,,,,31.0,,,,,,,1.0
REV_Base & Estate Management,FY26REV_Base & Estate Management,210.0,0.0,217.0,196.0,217.0,0.0,210.0,217.0,217.0,210.0,217.0,210.0,7.0
REV_Base & Estate Management,FY27REV_Base & Estate Management,,0.0,,,,124.0,,,,,,,4.0
REV_Corporate Australia,FY26REV_Corporate Australia,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Corporate Australia,FY27REV_Corporate Australia,,0.0,,,,31.0,,,,,,,1.0
REV_Downer Professional Services,FY26REV_Downer Professional Services,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Downer Professional Services,FY27REV_Downer Professional Services,,0.0,,,,31.0,,,,,,,1.0
REV_E&U Asset Management (ANZ),FY27REV_E&U Asset Management (ANZ),,0.0,,,,31.0,,,,,,,1.0
REV_EDI Rail- Bombardier Transportation,FY26REV_EDI Rail- Bombardier Transportation,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_EDI Rail- Bombardier Transportation,FY27REV_EDI Rail- Bombardier Transportation,,0.0,,,,31.0,,,,,,,1.0
REV_EU Support,FY26REV_EU Support,60.0,0.0,62.0,56.0,62.0,0.0,60.0,62.0,62.0,60.0,62.0,60.0,2.0
REV_Emerging Markets,FY27REV_Emerging Markets,,0.0,,,,93.0,,,,,,,3.0
REV_Emulco,FY26REV_Emulco,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Emulco,FY27REV_Emulco,,0.0,,,,31.0,,,,,,,1.0
REV_Energy & Industrial,FY26REV_Energy & Industrial,120.0,0.0,124.0,112.0,124.0,0.0,120.0,124.0,124.0,120.0,124.0,120.0,4.0
REV_Energy & Industrial,FY27REV_Energy & Industrial,,0.0,,,,124.0,,,,,,,4.0
REV_Fleet & Assets,FY26REV_Fleet & Assets,120.0,0.0,124.0,112.0,124.0,0.0,120.0,124.0,124.0,120.0,124.0,120.0,4.0
REV_Fleet & Assets,FY27REV_Fleet & Assets,,0.0,,,,93.0,,,,,,,3.0
REV_Government & IFM,FY26REV_Government & IFM,240.0,0.0,248.0,224.0,248.0,0.0,240.0,248.0,248.0,240.0,248.0,240.0,8.0
REV_Government & IFM,FY27REV_Government & IFM,,0.0,,,,217.0,,,,,,,7.0
REV_Health & Education,FY26REV_Health & Education,90.0,0.0,93.0,84.0,93.0,0.0,90.0,93.0,93.0,90.0,93.0,90.0,3.0
REV_Health & Education,FY27REV_Health & Education,,0.0,,,,124.0,,,,,,,4.0
REV_Infrastructure Projects,FY26REV_Infrastructure Projects,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Infrastructure Projects,FY27REV_Infrastructure Projects,,0.0,,,,31.0,,,,,,,1.0
REV_Intercompany Elimination,FY27REV_Intercompany Elimination,,0.0,,,,31.0,,,,,,,1.0
REV_Intra Elim,FY26REV_Intra Elim,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Intra Elim,FY27REV_Intra Elim,,0.0,,,,31.0,,,,,,,1.0
REV_Isaac Asphalt,FY26REV_Isaac Asphalt,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Isaac Asphalt,FY27REV_Isaac Asphalt,,0.0,,,,31.0,,,,,,,1.0
REV_Managing Contracts,FY26REV_Managing Contracts,90.0,0.0,93.0,84.0,93.0,0.0,90.0,93.0,93.0,90.0,93.0,90.0,3.0
REV_Mineral Technologies,FY26REV_Mineral Technologies,150.0,0.0,155.0,140.0,155.0,0.0,150.0,155.0,155.0,150.0,155.0,150.0,5.0
REV_Mineral Technologies,FY27REV_Mineral Technologies,,0.0,,,,155.0,,,,,,,5.0
"REV_NZ NSC, IT, Property, WF & Elins","FY26REV_NZ NSC, IT, Property, WF & Elins",30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
"REV_NZ NSC, IT, Property, WF & Elins","FY27REV_NZ NSC, IT, Property, WF & Elins",,0.0,,,,31.0,,,,,,,1.0
REV_Network Services,FY26REV_Network Services,60.0,0.0,62.0,56.0,62.0,0.0,60.0,62.0,62.0,60.0,62.0,60.0,2.0
REV_Passenger New Supply and Delivery,FY27REV_Passenger New Supply and Delivery,,0.0,,,,31.0,,,,,,,1.0
REV_Passenger North,FY26REV_Passenger New Supply and Delivery,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Passenger North,FY26REV_Passenger Refurbishment,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Passenger North,FY26REV_Passenger Through Life Support,60.0,0.0,62.0,56.0,62.0,0.0,60.0,62.0,62.0,60.0,62.0,60.0,2.0
REV_Passenger Refurbishment,FY27REV_Passenger Refurbishment,,0.0,,,,31.0,,,,,,,1.0
REV_Passenger South,FY26REV_Keolis Downer JV,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Power Projects,FY26REV_Power Projects,30.0,0.0,31.0,28.0,31.0,0.0,30.0,31.0,31.0,30.0,31.0,30.0,1.0
REV_Power Projects,FY27REV_Power Projects,,0.0,,,,31.0,,,,,,,1.0
