extract,rows,column,populated,populated_pct
Extract_for_Accounts (1).csv (07 Sep 26),59333,Location Link,59333,100.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Account Link,59333,100.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Associate,59333,100.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Location,59333,100.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Location Account Ref,37435,63.1
Extract_for_Accounts (1).csv (07 Sep 26),59333,Data Type,59333,100.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Account Style,59333,100.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Sub Type,145,0.2
Extract_for_Accounts (1).csv (07 Sep 26),59333,Supplier,56916,95.9
Extract_for_Accounts (1).csv (07 Sep 26),59333,Account Number,59333,100.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Account Reference,24295,40.9
Extract_for_Accounts (1).csv (07 Sep 26),59333,Reader,25380,42.8
Extract_for_Accounts (1).csv (07 Sep 26),59333,Serial_No,12,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Opened On,2463,4.2
Extract_for_Accounts (1).csv (07 Sep 26),59333,Replaced On,35810,60.4
Extract_for_Accounts (1).csv (07 Sep 26),59333,Usage Type,12040,20.3
Extract_for_Accounts (1).csv (07 Sep 26),59333,Use,12040,20.3
Extract_for_Accounts (1).csv (07 Sep 26),59333,Apportionment,12040,20.3
Extract_for_Accounts (1).csv (07 Sep 26),59333,Effective From,1078,1.8
Extract_for_Accounts (1).csv (07 Sep 26),59333,Effective To,20,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Cost Centre Group Chain,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Cost Centre,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Report Percent,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Cost Centre Effective From,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Cost Centre Effective To,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Cost Centre Membership Description,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Relationship,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Related Account,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Relationship Percent,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Relationship Effective From,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Relationship Effective To,0,0.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Account Style Accrue Type,59333,100.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Account Style Consumption Accrue Method,59333,100.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Account Style Cost Accrue Method,59333,100.0
Extract_for_Accounts (1).csv (07 Sep 26),59333,Updated On,59333,100.0
Extract_for_Accounts 05 Sep 26.csv,59266,Location Link,59266,100.0
Extract_for_Accounts 05 Sep 26.csv,59266,Account Link,59266,100.0
Extract_for_Accounts 05 Sep 26.csv,59266,Associate,59266,100.0
Extract_for_Accounts 05 Sep 26.csv,59266,Location,59266,100.0
Extract_for_Accounts 05 Sep 26.csv,59266,Location Account Ref,37409,63.1
Extract_for_Accounts 05 Sep 26.csv,59266,Data Type,59266,100.0
Extract_for_Accounts 05 Sep 26.csv,59266,Account Style,59266,100.0
Extract_for_Accounts 05 Sep 26.csv,59266,Sub Type,145,0.2
Extract_for_Accounts 05 Sep 26.csv,59266,Supplier,56849,95.9
Extract_for_Accounts 05 Sep 26.csv,59266,Account Number,59266,100.0
Extract_for_Accounts 05 Sep 26.csv,59266,Account Reference,24269,40.9
Extract_for_Accounts 05 Sep 26.csv,59266,Reader,25380,42.8
Extract_for_Accounts 05 Sep 26.csv,59266,Serial_No,12,0.0
Extract_for_Accounts 05 Sep 26.csv,59266,Opened On,2437,4.1
Extract_for_Accounts 05 Sep 26.csv,59266,Replaced On,35842,60.5
Extract_for_Accounts 05 Sep 26.csv,59266,Usage Type,12040,20.3
