group,Location,Account Number,Account Reference,Supplier,Account Style,Data Type,Opened On,Replaced On,open,Updated On,export_months,export_qty,export_tco2e
Cleanaway waste,Unallocated Cleanaway,18296273_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,31 Dec 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18625468_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/04/08 13:07,3,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18625490_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/04/08 13:07,3,0.1,0.0
Cleanaway waste,Unallocated Cleanaway,18625567_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/04/08 13:07,3,0.5,0.0
Cleanaway waste,Unallocated Cleanaway,18746413_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/04/08 13:07,2,0.4,0.0
Cleanaway waste,Unallocated Cleanaway,18752916_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/04/08 13:07,3,0.5,0.0
Cleanaway waste,Unallocated Cleanaway,18836518_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,30 Sep 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18836705_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,31 Dec 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18880639_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/02/07 17:37,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,19475621_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,31 Aug 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,4451222_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2026/09/07 16:22,2,0.7,0.0
Cleanaway waste,Unallocated Cleanaway,4451224_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2026/09/07 16:22,1,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,4451225_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2026/09/07 16:22,2,0.4,0.0
Cleanaway waste,Unallocated Cleanaway,4451575_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2026/09/07 16:22,3,3.5,0.0
Cleanaway waste,Unallocated Cleanaway,4459285_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2026/09/07 16:22,1,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,4629107_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2026/09/07 16:22,1,0.9,0.0
Cleanaway waste,Unallocated Cleanaway,48938745_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2024/03/12 15:06,1,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,48938756_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,30 Nov 2023,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,49006134_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2024/03/12 15:06,6,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,49050068_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,30 Apr 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,49097430_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/10/17 16:53,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,49165877_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/10/17 16:53,1,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,73351316_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2026/04/08 15:10,1,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,73364973_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/01/08 14:17,3,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,73365039_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,29 Feb 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,73365282_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/01/08 14:17,3,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,73365315_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/01/08 14:17,3,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,73365369_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/01/08 14:17,3,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,73365403_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/01/08 14:17,3,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,73365414_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/01/08 14:17,3,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,80754394_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/07/07 16:51,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,80913927_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2024/03/12 15:06,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,80942694_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2024/10/10 18:17,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,81020367_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2026/06/05 14:03,1,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,82224062_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2024/05/09 17:28,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,TS-018337_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/04/08 13:07,6,6.1,0.0
Cleanaway waste,Unallocated Cleanaway,TS-022552_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/06/06 12:05,2,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,TS-022553_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/04/08 13:07,5,0.7,0.0
Cleanaway waste,Unallocated Cleanaway,TS-057666_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/05/08 13:10,1,3.0,0.0
Cleanaway waste,Unallocated Cleanaway,TS-061350_Clinical,,Cleanaway,Clinical waste [t],Clinical Waste [t],,,True,2025/04/08 13:07,4,0.9,0.0
Cleanaway waste,Unallocated Cleanaway,2295796_Contaminated Soil,,Cleanaway,Contaminated Soil [t],Contaminated Soil [t],,,True,2025/03/07 21:32,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,3328526_Contaminated Soil,,Cleanaway,Contaminated Soil [t],Contaminated Soil [t],,,True,2025/06/06 12:05,2,282.4,0.0
Cleanaway waste,Unallocated Cleanaway,3767518_Contaminated Soil,,Cleanaway,Contaminated Soil [t],Contaminated Soil [t],,,True,2024/03/12 15:06,1,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,4342841_Contaminated Soil,,Cleanaway,Contaminated Soil [t],Contaminated Soil [t],,,True,2025/07/07 16:51,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,4609450_Contaminated Soil,,Cleanaway,Contaminated Soil [t],Contaminated Soil [t],,,True,2026/02/06 15:19,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,49006134_Contaminated Soil,,Cleanaway,Contaminated Soil [t],Contaminated Soil [t],,,True,2025/07/07 16:51,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,82278743_Contaminated Soil,,Cleanaway,Contaminated Soil [t],Contaminated Soil [t],,,True,2025/06/06 12:05,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,10353919_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,30 Apr 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,1533996_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,,True,2025/12/11 17:24,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18835427_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,30 Nov 2023,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18836893_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,31 May 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18836904_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,30 Nov 2023,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18836915_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,30 Nov 2023,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18836926_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,31 Mar 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18836937_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,29 Feb 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18836959_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,30 Jun 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18836969_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,30 Jun 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18836970_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,30 Nov 2023,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18836981_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,30 Apr 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18837047_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,30 Jun 2024,False,2026/04/02 17:22,0,0.0,0.0
Cleanaway waste,Unallocated Cleanaway,18837058_Oily Water,,Cleanaway,Liquid Waste - Oily Water [t],Liquid Waste - Oily Water [t],,30 Nov 2023,False,2026/04/02 17:22,0,0.0,0.0
