identifier,id_type,n_accounts,n_open,accounts,locations,suppliers,account_styles,replaced_on,months_with_kwh,overlap_months,surplus_kwh,surplus_tco2e,classification
0000024050WE5E2,ICP,4,2,Eco_ICP_0000024050WE5E2 | 3504_ICP_0000024050WE5E2 | 5013_ICP_0000024050WE5E2 | Eco_ICP_0000024050WE5E2,Hastings Depot | Asphalt Prod - Hamilton | _CLOSED_Asphalt_Hamilton | Asphalt Prod - Hamilton, | Downer | Downer | Ecotricity,Electricity – purchased from grid [kWh] | Electricity – purchased from grid [kWh] | Electricity – purchased from grid [kWh] | Electricity – purchased from grid [kWh],open | 30 Apr 2023 | 30 Jun 2022 | open,"Mar26,Apr26,May26,Jun26,Jul26 | none | none | Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26,Jul26",237174,23.98,"Live double count - both open, data in the same months"
3036098256,NMI,2,2,A-313CFBA6_3036098256 | A-9F0E2528_3036098256,RPQ Mackay Depot | RPQ Mackay Depot,Ergon | Ergon,Electricity Small Market | Electricity Small Market,open | open,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | Jun26,Jul26,Aug26","Jun26,Jul26,Aug26",5471,3.67,"Live double count - both open, data in the same months"
0003140222AAD30,ICP,2,2,0003140222AAD30 | 0003140222AAD30,68 Ihumatao Road  Mangere | Downer Cranes Auckland,Meridian | Meridian,Electricity – purchased from grid [kWh] | Electricity – purchased from grid [kWh],open | open,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | May26,Jun26,Jul26,Aug26","May26,Jun26,Jul26,Aug26",10287,1.04,"Live double count - both open, data in the same months"
ZZZZ001261,NMI,2,2,700000536_ZZZZ001261 | Tenant 700000536_ZZZZ001261,Cardiff - Rail | Cardiff - Rail,CleanPeakEnergy | CleanPeakEnergy,Electricity Small Market | Electricity Small Market,open | open,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26,Jul26,Aug26",-566457,-362.53,"Live double count - both open, data in the same months"
QB05383854,NMI,4,1,50002618016_QB05383854 | 1003081_QB05383854 | 5000021_QB05383854 | DOWN001_QB05383854,Asphalt Prod - Archerfield (406) | Asphalt Prod - Archerfield (406) | Asphalt Prod - Archerfield (406) | Asphalt Prod - Archerfield (406),Origin | CSEnergy | CSEnergy | InterGen,Electricity Large Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | open | 31 Mar 2026 | 30 Jun 2020,"none | Apr26,May26,Jun26,Jul26,Aug26 | Mar26,May26 | none",May26,64727,43.37,"Overlap in the export, but one side now carries a Replaced On"
3117134943,NMI,4,1,50002618003_3117134943 | 1003084_3117134943 | 5000021_3117134943 | DOWN001_3117134943,Teneriffe - Brisbane (QLD) | Teneriffe - Brisbane (QLD) | Teneriffe - Brisbane (QLD) | Teneriffe - Brisbane (QLD),Origin | CSEnergy | CSEnergy | InterGen,Electricity Large Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | open | 31 May 2026 | 30 Jun 2020,"none | Apr26,May26,Jun26,Jul26,Aug26 | Mar26,Apr26,May26 | none","Apr26,May26",25172,16.87,"Overlap in the export, but one side now carries a Replaced On"
QB06082220,NMI,5,1,50002618006_QB06082220 | 1003083_QB06082220 | 5000021_QB06082220 | 900018193_QB06082220 | DOWN001_QB06082220,MT-Carrara | MT-Carrara | MT-Carrara | MT-Carrara | MT-Carrara,Origin | CSEnergy | CSEnergy | EngieAU | InterGen,Electricity Large Market | Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | 30 Jun 2026 | 31 May 2026 | open | 30 Jun 2020,"none | Apr26,May26,Jun26 | Mar26,Apr26,May26 | Jul26,Aug26 | none","Apr26,May26",13026,8.73,"Overlap in the export, but one side now carries a Replaced On"
3116600011,NMI,5,1,50002618011_3116600011 | 1003086_3116600011 | 5000021_3116600011 | 900018192_3116600011 | DOWN001_3116600011,Richlands | Richlands | Richlands | Richlands | Richlands,Origin | CSEnergy | CSEnergy | EngieAU | InterGen,Electricity Large Market | Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | 30 Jun 2026 | 30 Jun 2026 | open | 30 Jun 2020,"none | Apr26,May26,Jun26 | Mar26,Apr26,May26,Jun26 | Jul26,Aug26 | none","Apr26,May26,Jun26",11194,7.5,"Overlap in the export, but one side now carries a Replaced On"
3120129028,NMI,4,1,50002618009_3120129028 | 1003085_3120129028 | 5000021_3120129028 | DOWN001_3120129028,Gympie | Gympie | Gympie | Gympie,Origin | CSEnergy | CSEnergy | InterGen,Electricity Large Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | open | 31 Mar 2026 | 30 Jun 2020,"none | Apr26,May26,Jun26,Jul26,Aug26 | Mar26,May26 | none",May26,10718,7.18,"Overlap in the export, but one side now carries a Replaced On"
0088966150PCC88,ICP,2,2,0088966150PCC88 | 0088966150PCC88,1259 Okau Road  Ahititi | 54 Mokau Road  Urenui,Meridian | Meridian,Electricity – purchased from grid [kWh] | Electricity – purchased from grid [kWh],open | open,none | none,,0,0.0,"Both open, only one recording"
