Location,Virtual Account Name,Virtual Account Link,Relationship Link,Rule Name,Rule Formula,Variable Name,Source Name,Source Link,Source Apportionment,Effective From YYYY-MM-DD,Effective To YYYY-MM-DD,nz_copy,source_style,source_supplier,source_location,source_replaced_on,identifier,targets_on_same_source_link,targets_on_same_source_name,source_number_at_n_open_locations,open_accounts_on_identifier,source_months_with_kwh,target_months_with_kwh,source_kwh_JulAug,target_kwh_JulAug,target_tco2e_JulAug,target_kwh_MarJun,target_tco2e_MarJun,target_factor_JulAug,flags
Asphalt Prod - Auckland,Copy of Eco_ICP_1001126325LC57C_CERTS,6397546,78,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_1001126325LC57C,6223424,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Auckland,,1001126325LC57C,1,1,1,Eco_ICP_1001126325LC57C,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",255643.0,0.0,0.0,476795.0,-48.21,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Dunedin,Copy of Eco_ICP_0000102308DEAD2_CERTS,6397547,79,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000102308DEAD2,6223425,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Dunedin,,0000102308DEAD2,1,1,1,Eco_ICP_0000102308DEAD2,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",80841.0,0.0,0.0,169183.0,-17.11,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Hamilton,Copy of Eco_ICP_0000024050WE5E2_CERTS,6397548,80,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000024050WE5E2,6223426,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Hamilton,,0000024050WE5E2,1,1,2,Eco_ICP_0000024050WE5E2,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",98307.0,0.0,0.0,195654.0,-19.78,,"NZ 'Copy of' name, no Effective From; source account number exists at more than one open location; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Invercargill,Copy of Eco_ICP_0000734355NVC9C_CERTS,6397549,81,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000734355NVC9C,6287769,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Invercargill,,0000734355NVC9C,1,1,1,Eco_ICP_0000734355NVC9C,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",62319.0,0.0,0.0,3789.0,-0.38,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Wellington,Copy of Eco_ICP_1001113152UNBF4_CERTS,6397550,82,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_1001113152UNBF4,6223427,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Wellington,,1001113152UNBF4,1,1,1,Eco_ICP_1001113152UNBF4,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",159439.0,0.0,0.0,313293.0,-31.68,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Asphalt Prod - Whangarei,Copy of Eco_ICP_0000519132NR7B9_CERTS,6397551,83,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000519132NR7B9,6223428,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Asphalt Prod - Whangarei,,0000519132NR7B9,1,1,1,Eco_ICP_0000519132NR7B9,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",87398.0,0.0,0.0,174652.0,-17.66,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Bluff,Copy of Eco_ICP_0000931749NV418_CERTS,6397552,84,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000931749NV418,6223429,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Bitumen - Bluff,,0000931749NV418,1,1,1,Eco_ICP_0000931749NV418,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",147029.0,0.0,0.0,155755.0,-15.75,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Lyttleton,Copy of Eco_ICP_0006863450RN0A4_CERTS,6397553,85,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0006863450RN0A4,6223431,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Bitumen - Lyttleton,,0006863450RN0A4,1,1,1,Eco_ICP_0006863450RN0A4,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",97185.0,0.0,0.0,228166.0,-23.07,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Lyttleton,Copy of Eco_ICP_0007202058RN859_CERTS,6397554,86,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0007202058RN859,6223430,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Bitumen - Lyttleton,,0007202058RN859,1,1,1,Eco_ICP_0007202058RN859,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",184519.0,0.0,0.0,357121.0,-36.11,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Bitumen - Mt Maunganui,Copy of Eco_ICP_0000939570TUEC4_CERTS,6397555,87,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000939570TUEC4,6223432,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Bitumen - Mt Maunganui,,0000939570TUEC4,1,1,1,Eco_ICP_0000939570TUEC4,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",227951.0,0.0,0.0,508630.0,-51.43,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
