"Organization","Location","Virtual Account Name","Virtual Account Link","Relationship Link","Effective From YYYY-MM-DD","Effective To YYYY-MM-DD","Rule Name","Rule Link","Rule Description","Rule Formula","Variable Name","Variable Link","Source Type","Source Name","Source Link","Source Apportionment","Delete Relationship"
"Downer","Asphalt Prod - Archerfield (406)","1003081_QB05383854_CERTS","6403603","200","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","1003081_QB05383854","6400661","100.0000",""
"Downer","Asphalt Prod - Auckland","Copy of Eco_ICP_1001126325LC57C_CERTS","6397546","78",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_1001126325LC57C","6223424","100.0000",""
"Downer","Asphalt Prod - Bathurst (156)","50002617964_NAAA00AC25_CERTS","6403506","134","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617964_NAAA00AC25","6181665","100.0000",""
"Downer","Asphalt Prod - Bayswater (302)","900018215_6305920528_CERTS","6403572","182","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","900018215_6305920528","6402915","100.0000",""
"Downer","Asphalt Prod - Bli Bli (408)","1003079_3120103988_CERTS","6403601","198","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","1003079_3120103988","6400660","100.0000",""
"Downer","Asphalt Prod - Brendale (423)","900018199_3120725958_CERTS","6403550","159","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","900018199_3120725958","6403470","100.0000",""
"Downer","Asphalt Prod - Dunedin","Copy of Eco_ICP_0000102308DEAD2_CERTS","6397547","79",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0000102308DEAD2","6223425","100.0000",""
"Downer","Asphalt Prod - Hamilton","Copy of Eco_ICP_0000024050WE5E2_CERTS","6397548","80",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0000024050WE5E2","6223426","100.0000",""
"Downer","Asphalt Prod - Hobart (329)","DEDI01_8000002117_8000002117_CERTS","6403583","193","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","DEDI01_8000002117_8000002117","6402932","100.0000",""
"Downer","Asphalt Prod - Hume (101)","50002618040_7001184714_CERTS","6403510","137","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002618040_7001184714","6182745","100.0000",""
"Downer","Asphalt Prod - Invercargill","Copy of Eco_ICP_0000734355NVC9C_CERTS","6397549","81",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0000734355NVC9C","6287769","100.0000",""
"Downer","Asphalt Prod - Mogo (154)","50002617992_4204072845_CERTS","6403508","177","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617992_4204072845","6181000","100.0000",""
"Downer","Asphalt Prod - Mogo (154)","50002769514_4001127731_CERTS","6403568","178","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002769514_4001127731","6203437","100.0000",""
"Downer","Asphalt Prod - Mowbray (360)","DEDI01_088_8000326927_CERTS","6403553","162","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","DEDI01_088_8000326927","6402936","100.0000",""
"Downer","Asphalt Prod - Rosehill (163)","50002756108_4311396021_CERTS","6403563","172","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002756108_4311396021","6200593","100.0000",""
"Downer","Asphalt Prod - Rosehill (163)","50002756109_4311396022_CERTS","6403564","173","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002756109_4311396022","6200594","100.0000",""
"Downer","Asphalt Prod - Shepparton (308)","900018214_6204134328_CERTS","6403571","181","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","900018214_6204134328","6402914","100.0000",""
"Downer","Asphalt Prod - Somerton (303)","900018217_6001311036_CERTS","6403569","179","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","900018217_6001311036","6402917","100.0000",""
"Downer","Asphalt Prod - Teralba (152)","50002617996_4104030101_CERTS","6403554","163","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617996_4104030101","6181421","100.0000",""
"Downer","Asphalt Prod - Traralgon (300)","900018219_6306009124_CERTS","6403573","183","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","900018219_6306009124","6402919","100.0000",""
"Downer","Asphalt Prod - Wellington","Copy of Eco_ICP_1001113152UNBF4_CERTS","6397550","82",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_1001113152UNBF4","6223427","100.0000",""
"Downer","Asphalt Prod - Whangarei","Copy of Eco_ICP_0000519132NR7B9_CERTS","6397551","83",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0000519132NR7B9","6223428","100.0000",""
"Downer","Asphalt Prod - Wingfield (523)","900018209_2002254877_CERTS","6403580","190","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","900018209_2002254877","6402910","100.0000",""
"Downer","Asphalt Prod - Wodonga (315)","900018213_VBBB002698_CERTS","6403576","186","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","900018213_VBBB002698","6402913","100.0000",""
"Downer","Auburn","50002617957_4103713125_CERTS","6403536","145","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617957_4103713125","6181664","100.0000",""
"Downer","Auburn","50002617965_4103711576_CERTS","6403535","144","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617965_4103711576","6182730","100.0000",""
"Downer","Austins Ferry","DEDI01_8000002963_CERTS","6403584","194","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","DEDI01_8000002963","6402933","100.0000",""
"Downer","Bitumen - Bluff","Copy of Eco_ICP_0000931749NV418_CERTS","6397552","84",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0000931749NV418","6223429","100.0000",""
"Downer","Bitumen - Lyttleton","Copy of Eco_ICP_0006863450RN0A4_CERTS","6397553","85",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0006863450RN0A4","6223431","100.0000",""
"Downer","Bitumen - Lyttleton","Copy of Eco_ICP_0007202058RN859_CERTS","6397554","86",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0007202058RN859","6223430","100.0000",""
