Page,Section,SubSection,EmissionsFactorLabel,Unit,UUID,Type,Assumptions,GHG,EmissionFactor,Uncertainties
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Alpaca and llama,per head,e7dc0686-e244-4ad6-b3fb-e8707e77310f,Alpaca and llama,,GHG_CH4_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Alpaca and llama,per head,e7dc0686-e244-4ad6-b3fb-e8707e77310f,Alpaca and llama,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Alpaca and llama,per head,e7dc0686-e244-4ad6-b3fb-e8707e77310f,Alpaca and llama,,GHG_N2O_KGCO2_e,24.4417,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Alpaca and llama,per head,e7dc0686-e244-4ad6-b3fb-e8707e77310f,Alpaca and llama,,GHG_TOTAL_KGCO2_e,24.4417,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Dairy cattle,per head,2438b477-3491-40c5-b581-349e3a2cb4be,Dairy cattle,,GHG_CH4_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Dairy cattle,per head,2438b477-3491-40c5-b581-349e3a2cb4be,Dairy cattle,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Dairy cattle,per head,2438b477-3491-40c5-b581-349e3a2cb4be,Dairy cattle,,GHG_N2O_KGCO2_e,423.368,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Dairy cattle,per head,2438b477-3491-40c5-b581-349e3a2cb4be,Dairy cattle,,GHG_TOTAL_KGCO2_e,423.368,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Deer,per head,0a677c49-6d0b-481a-93b8-58797b4a03bf,Deer,,GHG_CH4_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Deer,per head,0a677c49-6d0b-481a-93b8-58797b4a03bf,Deer,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Deer,per head,0a677c49-6d0b-481a-93b8-58797b4a03bf,Deer,,GHG_N2O_KGCO2_e,63.5129,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Deer,per head,0a677c49-6d0b-481a-93b8-58797b4a03bf,Deer,,GHG_TOTAL_KGCO2_e,63.5129,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Emus and Ostriches,per head,fa2f37e5-9d54-4149-8d96-1bde16bd9cc5,Emus and Ostriches,,GHG_CH4_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Emus and Ostriches,per head,fa2f37e5-9d54-4149-8d96-1bde16bd9cc5,Emus and Ostriches,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Emus and Ostriches,per head,fa2f37e5-9d54-4149-8d96-1bde16bd9cc5,Emus and Ostriches,,GHG_N2O_KGCO2_e,46.958,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Emus and Ostriches,per head,fa2f37e5-9d54-4149-8d96-1bde16bd9cc5,Emus and Ostriches,,GHG_TOTAL_KGCO2_e,46.958,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Goats,per head,41cdca25-6079-4c62-95f3-9c872bcb0577,Goats,,GHG_CH4_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Goats,per head,41cdca25-6079-4c62-95f3-9c872bcb0577,Goats,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Goats,per head,41cdca25-6079-4c62-95f3-9c872bcb0577,Goats,,GHG_N2O_KGCO2_e,24.3882,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Goats,per head,41cdca25-6079-4c62-95f3-9c872bcb0577,Goats,,GHG_TOTAL_KGCO2_e,24.3882,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Horses,per head,b7de05d4-2e5a-4f5d-9af0-52b2a645b8d8,Horses,,GHG_CH4_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Horses,per head,b7de05d4-2e5a-4f5d-9af0-52b2a645b8d8,Horses,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Horses,per head,b7de05d4-2e5a-4f5d-9af0-52b2a645b8d8,Horses,,GHG_N2O_KGCO2_e,115.365,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Horses,per head,b7de05d4-2e5a-4f5d-9af0-52b2a645b8d8,Horses,,GHG_TOTAL_KGCO2_e,115.365,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Mules and asses,per head,2b9828bc-f703-4505-8210-78a359871c65,Mules and asses,,GHG_CH4_KGCO2_e,0,54.1%
