"Fav","Location","Account Number","Reference","Supplier","Reader","Data Type","Account Style"
"0","Unallocated Accounts","100480339_LPG Stationary","DOWNER EDI ENGINEERING GIDGEALPA","BOC","","Liquefied Petroleum Gas (LPG) Stationary [L]","Liquefied Petroleum Gas (LPG) Stationary [L] - No Accrual"
"0","Unallocated Accounts","100480339_Acetylene","DOWNER EDI ENGINEERING GIDGEALPA","BOC","","Other Gaseous Fossil Fuels [m3]","Acetylene [m3] - No Accrual"
"0","Unallocated Accounts","100058677_LPG Stationary","SPOTLESS - A313/L321 RCHV BLD MGT S","BOC","","Liquefied Petroleum Gas (LPG) Stationary [L]","Liquefied Petroleum Gas (LPG) Stationary [L] - No Accrual"
"0","Unallocated Accounts","1006152_Acetylene","DOWNER NZ LTD (RC161)","BOC","","Other Gaseous Fossil Fuels [m3]","Acetylene [m3] - No Accrual"
"0","Unallocated Accounts","100058564_Acetylene","DOWNER SITE OFFICES","BOC","","Other Gaseous Fossil Fuels [m3]","Acetylene [m3] - No Accrual"
"0","Unallocated Accounts","100458174_Acetylene","SPOTLESS- MAIN POOL","BOC","","Other Gaseous Fossil Fuels [m3]","Acetylene [m3] - No Accrual"
"0","Unallocated Accounts","100574884_Acetylene","DOWNER T&I NORTH AKLD CONSTRN","BOC","","Other Gaseous Fossil Fuels [m3]","Acetylene [m3] - No Accrual"
"0","Unallocated Accounts","170944_Petrol","170944","FTC Finance Report","","Petrol Transport post-2004 [L]","Petrol (Gasoline) Transport post 2004 [L]"
"0","Unallocated Accounts","100588541_LPG Stationary","DOWNER EDI WORKS MACKEY","BOC","","Liquefied Petroleum Gas (LPG) Stationary [L]","Liquefied Petroleum Gas (LPG) Stationary [L] - No Accrual"
"0","Unallocated Accounts","1411257_LPG Stationary","DOWNER EDI WORKS PTY LTD","BOC","","Liquefied Petroleum Gas (LPG) Stationary [L]","Liquefied Petroleum Gas (LPG) Stationary [L] - No Accrual"
"0","Unallocated Accounts","2085026_Acetylene","SPOTLESS - AA22/007A","BOC","","Other Gaseous Fossil Fuels [m3]","Acetylene [m3] - No Accrual"
"0","Unallocated Accounts","100588541_Acetylene","DOWNER EDI WORKS MACKEY","BOC","","Other Gaseous Fossil Fuels [m3]","Acetylene [m3] - No Accrual"
"0","Unallocated Accounts","Diesel_2489625_Stationary","DFOA DOWNER EDI WKS-LISMORE GOONELLABAH","Viva Energy","","Diesel Stationary [L]","Diesel Stationary [L] - No Accrual"
"0","Unallocated Accounts","900018189_3051770385","","EngieAU","Account Created by the Utilities Connector","Electricity [kWh]","Electricity Small Market"
"0","Unallocated Accounts","900018190_3120014382","","EngieAU","Account Created by the Utilities Connector","Electricity [kWh]","Electricity Small Market"
"0","Unallocated Accounts","900018191_3120070486","","EngieAU","Account Created by the Utilities Connector","Electricity [kWh]","Electricity Small Market"
"0","Unallocated Accounts","900018195_3120129028","","EngieAU","Account Created by the Utilities Connector","Electricity [kWh]","Electricity Small Market"
"0","Unallocated Accounts","900018196_3120103988","","EngieAU","Account Created by the Utilities Connector","Electricity [kWh]","Electricity Small Market"
"0","Unallocated Accounts","900018197_QB05383854","","EngieAU","Account Created by the Utilities Connector","Electricity [kWh]","Electricity Small Market"
"0","Unallocated Accounts","900018203_3120143385","","EngieAU","Account Created by the Utilities Connector","Electricity [kWh]","Electricity Small Market"
